Endgame,White,Parameter,Move,Evaluation_Function,Nodes_Number,Time
1,False,3,51,20,205,3.01207
1,False,3,52,20,211,3.017
1,False,3,53,20,206,3.018
1,False,3,54,20,215,3.01614
1,False,3,55,20,211,3.02059
1,False,3,56,20,210,3.017
1,False,3,57,20,230,3.017
1,False,3,58,20,254,3.01831
1,False,3,59,20,258,3.01074
1,False,3,60,20,308,3.01558
1,False,3,61,20,345,3.01264
1,False,3,62,20,221,3.0141
1,False,3,63,20,208,3.02177
1,False,3,64,30,240,3.01835
1,False,3,65,30,229,3.00712
1,False,3,66,30,230,3.01895
1,False,3,67,30,220,3.01797
1,False,3,68,30,211,3.00846
1,False,3,69,30,219,3.01424
1,False,3,70,30,214,3.01288
1,False,3,71,30,212,3.02442
1,False,3,72,30,216,3.00792
1,False,3,73,30,227,3.01698
1,False,3,74,30,222,3.01366
1,False,3,75,30,213,3.01499
1,False,3,76,30,221,3.00607
1,False,3,77,30,225,3.01607
1,False,3,78,30,218,3.00958
1,False,3,79,30,220,3.00852
1,False,3,80,30,216,3.00991
1,False,3,81,30,221,3.01189
1,False,3,82,30,242,3.00565
1,False,3,83,30,228,3.01291
1,False,3,84,110,219,3.01912
1,False,3,85,110,236,3.04117
1,False,3,86,110,237,3.02831
1,False,3,87,110,230,3.01748
1,False,3,88,110,235,3.02075
1,False,3,89,110,228,3.01602
1,False,3,90,110,237,3.0145
1,False,3,91,110,244,3.00985
1,False,3,92,110,247,3.01052
1,False,3,93,110,240,3.00846
1,False,3,94,110,252,3.01859
1,False,3,95,110,264,3.00769
1,False,3,96,110,254,3.02425
1,False,3,97,110,266,3.01304
1,False,3,98,110,262,3.00886
1,False,3,99,110,286,3.01121
1,False,3,100,110,283,3.0107
1,False,3,101,110,278,3.02454
1,False,3,102,110,330,3.03375
1,False,3,103,110,351,3.01048
1,False,3,104,110,399,3.01636
1,False,3,105,110,456,3.025
1,False,3,106,110,559,3.01887
1,False,3,107,110,902,3.02104
1,False,3,108,110,328,3.03825
1,False,3,109,110,245,3.01039
1,False,3,110,190,277,3.01062
1,False,3,111,190,277,3.01801
1,False,3,112,190,277,3.01553
1,False,3,113,190,278,3.01659
1,False,3,114,190,292,3.0098
1,False,3,115,190,278,3.01944
1,False,3,116,190,293,3.01629
1,False,3,117,190,284,3.03148
1,False,3,118,190,286,3.02314
1,False,3,119,190,326,3.02542
1,False,3,120,190,306,3.0264
2,False,3,1,10,162,3.0003
2,False,3,2,20,181,3.0256
2,False,3,3,30,179,3.01421
2,False,3,4,30,178,3.01541
2,False,3,5,30,188,3.00556
2,False,3,6,60,231,3.00323
2,False,3,7,70,216,3.00946
2,False,3,8,70,216,3.01833
2,False,3,9,70,222,3.00231
2,False,3,10,70,228,3.0042
2,False,3,11,70,225,3.01467
2,False,3,12,70,214,3.02605
2,False,3,13,80,240,3.01033
2,False,3,14,80,243,3.00397
2,False,3,15,80,254,3.00456
2,False,3,16,80,258,3.01087
2,False,3,17,80,242,3.00205
2,False,3,18,160,282,3.00658
2,False,3,19,160,296,3.02313
2,False,3,20,160,265,3.02836
2,False,3,21,160,350,3.0157
2,False,3,22,160,348,3.02078
2,False,3,23,160,375,3.02267
2,False,3,24,160,321,3.01872
2,False,3,25,160,344,3.02581
2,False,3,26,160,388,3.00946
2,False,3,27,160,359,3.02976
2,False,3,28,160,375,3.01941
2,False,3,29,160,385,3.03104
2,False,3,30,160,406,3.01131
2,False,3,31,160,429,3.02558
2,False,3,32,160,427,3.02444
2,False,3,33,160,476,3.02261
2,False,3,34,160,515,3.02398
2,False,3,35,160,527,3.0408
2,False,3,36,160,578,3.02494
2,False,3,37,160,656,3.03966
2,False,3,38,160,660,3.02569
2,False,3,39,160,716,3.02474
2,False,3,40,160,1108,3.03089
2,False,3,41,160,2128,3.04098
2,False,3,42,160,355,3.0913
3,False,3,1,30,253,3.01422
4,False,3,1,40,164,3.00226
4,False,3,2,40,174,3.00658
4,False,3,3,40,171,3.00573
4,False,3,4,40,167,3.01113
4,False,3,5,40,180,3.00404
4,False,3,6,50,213,3.01116
4,False,3,7,50,210,3.00943
4,False,3,8,50,209,3.00786
4,False,3,9,50,209,3.01155
4,False,3,10,50,198,3.01306
4,False,3,11,60,220,3.00146
4,False,3,12,60,230,3.00438
4,False,3,13,60,227,3.01231
4,False,3,14,60,221,3.00375
4,False,3,15,60,204,3.01196
4,False,3,16,60,245,3.00394
4,False,3,17,60,226,3.00535
4,False,3,18,60,226,3.01225
4,False,3,19,60,218,3.01596
4,False,3,20,60,234,3.00699
4,False,3,21,60,249,3.00537
4,False,3,22,70,305,3.00771
4,False,3,23,70,311,3.00756
4,False,3,24,70,289,3.00852
4,False,3,25,70,280,3.01366
4,False,3,26,70,286,3.01214
4,False,3,27,70,283,3.01168
4,False,3,28,70,286,3.00518
4,False,3,29,70,289,3.01785
4,False,3,30,70,301,3.00792
4,False,3,31,70,307,3.00616
4,False,3,32,70,293,3.00908
4,False,3,33,70,309,3.01162
4,False,3,34,70,302,3.009
4,False,3,35,70,319,3.01463
4,False,3,36,70,312,3.01031
4,False,3,37,70,321,3.01666
4,False,3,38,70,345,3.01015
4,False,3,39,70,364,3.01516
4,False,3,40,70,384,3.00891
4,False,3,41,70,395,3.01459
4,False,3,42,70,484,3.01928
4,False,3,43,70,474,3.01269
4,False,3,44,70,608,3.00872
4,False,3,45,70,716,3.01052
4,False,3,46,70,999,3.01378
4,False,3,47,70,307,3.02806
4,False,3,48,70,286,3.00967
4,False,3,49,70,271,3.00554
4,False,3,50,70,281,3.01644
4,False,3,51,70,283,3.00984
4,False,3,52,70,293,3.0075
4,False,3,53,70,286,3.00612
4,False,3,54,70,298,3.01883
4,False,3,55,70,290,3.01268
4,False,3,56,70,302,3.01666
4,False,3,57,70,317,3.01025
4,False,3,58,70,323,3.00835
4,False,3,59,70,316,3.00761
4,False,3,60,70,327,3.01392
4,False,3,61,70,326,3.01123
4,False,3,62,70,320,3.0082
4,False,3,63,70,353,3.00999
4,False,3,64,70,348,3.01451
4,False,3,65,70,391,3.02007
4,False,3,66,70,403,3.00976
4,False,3,67,70,428,3.01015
4,False,3,68,70,495,3.02386
4,False,3,69,70,635,3.01504
