Endgame,Algo,Parameter,White,Opponenet,Opponent_Parameter,Win,Draw,Lose,Move_Num,Total_Nodes,Total_Time,Oppo_Total_Num,Oppo_Total_Time
4,MCTS,3,True,MCTS,4,1,0,0,14,2781,42.1832,3410,52.1496
4,MCTS,3,True,MCTS,5,0,0,1,33,6125,99.7406,10172,165.632
4,MCTS,4,True,MCTS,2,1,0,0,28,6569,112.295,3305,54.4951
4,MCTS,4,True,MCTS,3,1,0,0,12,2387,48.1471,1647,33.1804
4,MCTS,4,True,MCTS,5,0,0,1,23,5693,92.3626,6969,115.371
4,MCTS,5,True,MCTS,2,0,1,0,60,16616,301.727,6535,120.26
4,MCTS,5,True,MCTS,3,0,0,1,52,17097,261.962,10279,157.957
4,MCTS,5,True,MCTS,4,0,1,0,60,9383,302.434,7508,238.687
0,MCTS,3,True,MCTS,2,1,0,0,37,3331,111.89,2154,73.0863
0,MCTS,3,True,MCTS,4,0,0,1,21,1753,63.6308,2382,84.4492
0,MCTS,3,True,MCTS,5,1,0,0,8,754,24.2907,1087,35.1474
0,MCTS,4,True,MCTS,2,1,0,0,40,7170,160.921,3503,79.5696
0,MCTS,4,True,MCTS,3,0,0,1,28,3489,112.792,2625,84.8709
0,MCTS,4,True,MCTS,5,0,0,1,14,1679,56.2968,2166,70.3058
0,MCTS,5,True,MCTS,2,1,0,0,23,3901,115.615,1486,44.6793
0,MCTS,5,True,MCTS,3,1,0,0,27,4043,135.851,2323,78.8552
0,MCTS,5,True,MCTS,4,0,0,1,9,1429,45.1732,1094,36.2288
1,MCTS,3,True,MCTS,2,0,0,1,21,1459,63.6657,975,42.7899
1,MCTS,3,True,MCTS,4,0,0,1,49,4335,149.178,5698,197.597
1,MCTS,3,True,MCTS,5,0,0,1,43,3102,130.653,5164,216.473
