Endgame,White,Parameter,Move,Evaluation_Function,Nodes_Number,Time
1,False,1,45,-100,62,1.01251
1,False,1,46,-100,70,1.01575
1,False,1,47,-100,75,1.01122
1,False,1,48,-100,73,1.00993
1,False,1,49,-100,76,1.02262
1,False,1,50,-10,84,1.01535
1,False,1,51,-10,78,1.02171
1,False,1,52,-10,82,1.02221
1,False,1,53,-10,83,1.02845
1,False,1,54,-90,87,1.02826
1,False,1,55,-90,103,1.02222
1,False,1,56,-90,96,1.024
1,False,1,57,-90,109,1.02962
1,False,1,58,-90,102,1.02206
1,False,1,59,-90,89,1.00829
1,False,1,60,-90,105,1.02263
1,False,1,61,-90,89,1.02263
1,False,1,62,-90,115,1.01882
1,False,1,63,-100,93,1.02765
1,False,1,64,-100,78,1.01278
1,False,1,65,-100,77,1.01796
1,False,1,66,-100,73,1.02538
1,False,1,67,-100,75,1.02419
1,False,1,68,-100,77,1.01812
1,False,1,69,-100,74,1.02312
1,False,1,70,-100,83,1.02519
1,False,1,71,-100,66,1.01176
1,False,1,72,-100,70,1.01997
1,False,1,73,-100,83,1.02293
1,False,1,74,-10,81,1.01731
1,False,1,75,-10,94,1.02787
1,False,1,76,-10,97,1.02748
1,False,1,77,-10,83,1.02067
1,False,1,78,-10,88,1.04066
1,False,1,79,-10,91,1.03163
1,False,1,80,-10,90,1.03239
1,False,1,81,-10,93,1.03398
1,False,1,82,-10,93,1.03444
1,False,1,83,-10,92,1.03493
1,False,1,84,-10,98,1.02847
1,False,1,85,-10,91,1.04523
1,False,1,86,-10,94,1.03454
1,False,1,87,-10,91,1.03377
1,False,1,88,-10,95,1.03085
1,False,1,89,-10,104,1.04552
1,False,1,90,-10,102,1.0416
1,False,1,91,-10,106,1.03364
1,False,1,92,-10,100,1.03451
1,False,1,93,-10,105,1.03851
1,False,1,94,-10,123,1.04579
1,False,1,95,-10,131,1.04507
1,False,1,96,-10,120,1.04483
1,False,1,97,-10,127,1.05388
1,False,1,98,0,194,1.04244
1,False,1,99,0,181,1.07474
1,False,1,100,0,179,1.07607
1,False,1,101,0,206,1.07005
1,False,1,102,0,215,1.08609
1,False,1,103,0,196,1.07021
1,False,1,104,0,207,1.0753
1,False,1,105,0,202,1.0784
1,False,1,106,0,236,1.09974
1,False,1,107,0,256,1.08998
1,False,1,108,0,248,1.09531
1,False,1,109,0,292,1.08841
1,False,1,110,0,311,1.12799
1,False,1,111,0,319,1.14165
1,False,1,112,0,343,1.11683
1,False,1,113,0,399,1.13082
1,False,1,114,0,387,1.14834
1,False,1,115,0,360,1.16445
1,False,1,116,0,407,1.17789
1,False,1,117,0,376,1.14234
1,False,1,118,0,535,1.1991
1,False,1,119,0,489,1.20517
1,False,1,120,0,397,1.22255
1,False,1,121,0,444,1.1875
1,False,1,122,10,139,1.08643
1,False,1,123,10,146,1.06646
1,False,1,124,10,137,1.06126
1,False,1,125,10,138,1.0648
1,False,1,126,10,154,1.07988
1,False,1,127,10,144,1.07226
