Endgame,White,Parameter,Move,Evaluation_Function,Evaluation_Number,Time
1,True,5,67,230,8002,0.884142
1,True,5,68,230,4227,0.399239
1,True,5,69,230,39514,3.917
1,True,5,70,230,30509,2.99209
1,True,5,71,230,39514,4.2782
1,True,5,72,230,32310,3.39378
1,True,5,73,230,39919,4.39051
1,True,5,74,230,32310,3.40203
1,True,5,75,230,39514,4.04746
1,True,5,76,230,31378,3.31865
1,True,5,77,230,39514,4.08462
1,True,5,78,230,31378,3.40577
1,True,5,79,230,39514,4.15136
1,True,5,80,230,31378,3.41557
1,True,5,81,230,39514,4.32824
1,True,5,82,230,30509,3.33699
1,True,5,83,230,40249,4.35143
1,True,5,84,230,31213,3.55122
1,True,5,85,230,40249,4.50648
1,True,5,86,230,31378,3.56021
1,True,5,87,230,40249,4.55881
1,True,5,88,230,31213,3.67199
1,True,5,89,230,40249,4.65085
1,True,5,90,230,31213,3.77113
1,True,5,91,230,40249,4.7477
1,True,5,92,230,6207,0.819465
1,True,5,93,230,4653,0.573472
1,True,5,94,230,42620,5.10748
1,True,5,95,1050,30505,3.73981
1,True,5,96,1050,34722,4.3815
2,True,5,1,90,8186,0.525078
2,True,5,2,100,8719,0.407047
2,True,5,3,130,21257,0.783294
2,True,5,4,140,80539,2.73806
2,True,5,5,140,13791,0.608738
2,True,5,6,150,10871,0.617476
2,True,5,7,150,10401,0.578137
2,True,5,8,150,15692,0.6612
2,True,5,9,160,15974,0.787751
2,True,5,10,160,9206,0.486301
2,True,5,11,160,10716,0.658323
2,True,5,12,160,14584,0.761155
2,True,5,13,160,6175,0.551642
2,True,5,14,160,8081,0.490961
2,True,5,15,160,9605,0.448947
2,True,5,16,1060,50804,2.22256
2,True,5,17,1060,63572,2.76139
2,True,5,18,1060,62899,2.77731
2,True,5,19,1060,63572,2.8625
2,True,5,20,1060,62210,3.11717
2,True,5,21,1060,63572,2.94817
2,True,5,22,1060,62210,3.01659
2,True,5,23,1060,63572,3.15403
2,True,5,24,1060,62899,3.12295
2,True,5,25,1060,63572,3.23257
