Endgame,Algo,Parameter,White,Opponenet,Opponent_Parameter,Win,Draw,Lose,Move_Num,Total_Nodes,Total_Time,Oppo_Total_Num,Oppo_Total_Time
2,MCTS,5,True,MCTS,1,0,0,1,29,8262,145.375,1676,29.5982
2,MCTS,5,True,MCTS,1,0,0,1,8,1850,40.1182,362,8.11758
2,MCTS,5,True,MCTS,1,0,0,1,27,6656,135.431,1333,27.5037
2,MCTS,5,True,MCTS,1,1,0,0,29,8560,145.365,1650,28.5671
2,MCTS,5,True,MCTS,2,0,0,1,19,4489,95.3296,1832,38.3419
2,MCTS,5,True,MCTS,2,0,0,1,6,1517,30.0709,627,12.1134
2,MCTS,5,True,MCTS,2,1,0,0,44,14585,220.88,5571,87.1613
2,MCTS,5,True,MCTS,2,0,0,1,15,3747,75.2054,1504,30.1935
2,MCTS,5,True,MCTS,2,0,0,1,13,3346,65.2088,1341,26.1769
2,MCTS,5,True,MCTS,3,0,0,1,8,1867,40.072,1139,24.119
2,MCTS,5,True,MCTS,3,0,0,1,10,2220,50.1583,1376,30.2282
2,MCTS,5,True,MCTS,3,0,0,1,20,4852,100.354,3006,60.3884
2,MCTS,5,True,MCTS,3,0,0,1,8,1948,40.0819,1178,24.1502
2,MCTS,5,True,MCTS,3,0,0,1,17,4665,85.2836,2804,51.3128
2,MCTS,5,True,MCTS,4,0,0,1,23,6869,115.433,5283,92.5189
2,MCTS,5,True,MCTS,4,0,0,1,2,477,10.0226,386,8.05049
2,MCTS,5,True,MCTS,4,0,0,1,5,1120,25.0567,899,20.0751
2,MCTS,5,True,MCTS,4,0,0,1,3,640,15.044,520,12.0457
2,MCTS,5,True,MCTS,4,0,0,1,30,8127,150.529,6490,120.795
3,MCTS,2,True,MCTS,1,1,0,0,6,846,12.0389,367,5.03125
3,MCTS,2,True,MCTS,1,1,0,0,2,263,4.02088,72,1.00676
3,MCTS,2,True,MCTS,1,1,0,0,2,267,4.01613,73,1.00122
3,MCTS,2,True,MCTS,1,1,0,0,9,1034,18.086,444,8.08909
3,MCTS,2,True,MCTS,1,0,0,1,22,3566,44.2256,1832,22.3226
3,MCTS,3,True,MCTS,1,1,0,0,2,404,6.03041,81,1.00979
3,MCTS,3,True,MCTS,1,1,0,0,2,402,6.01644,62,1.01979
3,MCTS,3,True,MCTS,1,1,0,0,2,440,6.01402,71,1.0054
3,MCTS,3,True,MCTS,1,1,0,0,3,423,9.0061,142,2.02159
3,MCTS,3,True,MCTS,1,1,0,0,5,792,15.0342,276,4.04965
